Id,Location_Depot,Name_Depot,Width,Height,Length,Type
9583484a-f4fa-4afd-b821-57509df5a930,506,Depot_506,4,2,0,FRAGILE
f2eaaaf1-bb37-47b3-89bf-fb662d72c92c,117,Depot_117,7,1,0,FRAGILE
eb3830d3-5c98-40cd-8d88-8790ffa82185,289,Depot_289,8,2,0,ALIMENTAL
11d20d02-8487-43a8-a6b9-2119efbd6e3b,898,Depot_898,5,0,1,NOTSPECIFY
9b530ac3-41ae-46b5-9034-8a1378217006,602,Depot_602,8,2,0,FRAGILE
b9234d12-8103-4284-b547-d0305d771339,47,Depot_47,6,2,0,FRAGILE
77058f41-440b-4f54-a72b-324b776474ca,433,Depot_433,4,0,1,NOTSPECIFY
862f7082-2a90-43bd-a9fa-4490bd97081a,8,Depot_8,4,0,0,NOTSPECIFY
21baa9cd-a0d9-4f6c-9c2f-2edb69d9d235,258,Depot_258,9,2,1,ALIMENTAL
3e6929c9-17de-4909-ae24-b7b8f01cc993,704,Depot_704,7,2,1,ALIMENTAL
cdd44101-0e96-44ff-8829-fd79bd28f194,776,Depot_776,5,2,0,FRAGILE
6cc0fc15-ccfa-46ff-a370-c310020238f5,117,Depot_117,6,2,0,ALIMENTAL
4613cd70-3849-4583-ad9a-154f1f8a78c9,536,Depot_536,8,2,1,ALIMENTAL
bed57f61-30e8-464d-827e-c4a847023881,853,Depot_853,5,1,1,FRAGILE
55381e50-4f41-44ee-8437-6e9e8cdb7407,660,Depot_660,5,2,1,ALIMENTAL
0fd8da14-55b9-401c-9d8f-c11f31179abc,649,Depot_649,3,2,0,FRAGILE
93ec6e14-aec0-40cb-bd88-0359329583d8,394,Depot_394,4,2,0,FRAGILE
8b27e798-e1b7-4dbd-b1af-7e30cb70f1b5,22,Depot_22,6,1,1,NOTSPECIFY
0d568a21-180a-4813-b98e-932e17ad8e53,104,Depot_104,7,0,0,FRAGILE
3d1ca921-f081-42b4-84f5-40616ed1d189,484,Depot_484,6,3,0,EXPLOSIVE
0b03c75c-00e8-479b-9bb7-846651c9afe9,237,Depot_237,7,2,2,ALIMENTAL
1d218b34-84e3-4d72-b38e-f2e18cb29203,29,Depot_29,4,4,0,NOTSPECIFY
c875da4a-c9ce-4e7f-befe-71833ce219a0,99,Depot_99,7,2,0,ALIMENTAL
eb08a911-9079-4adb-b364-756bb7ef5c4a,623,Depot_623,5,1,1,NOTSPECIFY
dba409e6-bd85-4ad9-879d-0e318ca54da4,661,Depot_661,4,3,1,NOTSPECIFY
ec96ed39-4a31-45b1-9c87-51bfc1134460,459,Depot_459,4,1,1,NOTSPECIFY
ff6173eb-0f81-41a0-831f-460a04cbcaca,909,Depot_909,6,4,0,ALIMENTAL
ad0d0fd4-bb0c-4fb3-8531-0b8c2ea05286,37,Depot_37,7,1,0,NOTSPECIFY
728d567f-a582-4f57-9ae5-89565c233014,67,Depot_67,5,3,2,NOTSPECIFY
fb3fd1c2-76de-4454-abee-6c0c2af46a25,597,Depot_597,7,1,0,NOTSPECIFY
3ad1e4f4-2f3e-4999-94eb-29e316a740a9,557,Depot_557,7,1,1,FRAGILE
daed7b47-21cf-4b3c-8963-63dd04310c1f,577,Depot_577,6,3,0,NOTSPECIFY
