Id,Location_Depot,Name_Depot,Width,Height,Length,Type
241bb015-37f2-4df2-9e34-ccf17aff34f8,14,Depot_14,2,5,2,FLAMMABLE
57d20357-b3af-49d9-a48a-4dde54f821ad,167,Depot_167,4,2,7,ALIMENTAL
91fef43b-d7b2-49fd-a2c6-f671e3e23d03,276,Depot_276,7,5,8,OXIDIZING
635ffddc-2edc-495b-b06b-3bb6fe4bba59,351,Depot_351,5,2,4,NOTSPECIFY
4b48a2d0-20f1-4105-aef3-1dc32eac14ed,102,Depot_102,7,6,3,FRAGILE
2a326a9a-9b20-44ea-993e-b1183e404ae3,419,Depot_419,3,2,5,TOXIC
309b6528-c862-4227-8c91-b2f1247aaf3d,234,Depot_234,6,3,4,OXIDIZING
3f509526-7d79-49b9-87a4-8ec7ed35e185,494,Depot_494,3,4,5,ALIMENTAL
c0aa9fdf-a084-4ae5-9df8-64ee24b66cd7,358,Depot_358,7,5,2,FRAGILE
6cd4c853-406a-4856-a64f-46056b7ec8db,112,Depot_112,3,3,3,FRAGILE
cbe12167-bfdc-4006-b804-e426935a6d94,87,Depot_87,6,5,8,FRAGILE
22aacd70-588c-4dd9-bdac-31434655701a,202,Depot_202,5,5,8,NOTSPECIFY
37dabc7b-6eb7-4420-8e06-120114455b4d,357,Depot_357,7,3,6,ALIMENTAL
6f179162-db31-47cc-b5c0-0f3b2e279d12,348,Depot_348,6,5,6,NOTSPECIFY
b724b961-4ddc-48c1-af2f-c20ff5b59b53,40,Depot_40,7,3,2,ALIMENTAL
cabba144-efa3-4713-bbb2-cf64bd0d7491,346,Depot_346,5,3,5,OXIDIZING
ef883158-90fb-46cd-90ac-1a52db233cde,186,Depot_186,4,2,7,NOTSPECIFY
f2894420-0bd1-47c8-9ea3-666c063da083,175,Depot_175,4,6,2,NOTSPECIFY
9728230f-3656-400b-9187-13bbc8b34b07,62,Depot_62,6,7,7,FRAGILE
0a90dab4-52a5-43a6-ac63-2b3f15bc0ac5,276,Depot_276,4,5,5,EXPLOSIVE
a69c154b-e90a-4743-b3da-f5f5153de56c,182,Depot_182,6,3,3,EXPLOSIVE
43bdcb69-db93-4851-8e96-188f0ff9a173,193,Depot_193,5,2,2,NOTSPECIFY
6cc6165a-30ee-4d69-8a3a-e5969382eadb,496,Depot_496,7,6,3,FRAGILE
8ec083d1-eadb-465b-8399-8aaff2eaf9af,346,Depot_346,5,2,2,NOTSPECIFY
633dac4a-6b16-43df-864f-ca0a13a1dbd9,81,Depot_81,3,2,6,FRAGILE
3f83f572-46a0-447e-8a65-40a8e50128ad,161,Depot_161,3,4,4,FRAGILE
46fd5fca-98f9-45e3-afa5-c69c31df014e,127,Depot_127,6,7,4,ALIMENTAL
626e2ef0-9827-43e7-9052-4810b065a5d8,188,Depot_188,2,5,6,NOTSPECIFY
79f1e07b-a908-4a6d-ae43-fc1d8da4f05a,152,Depot_152,4,8,5,NOTSPECIFY
c0a70015-569c-4c5a-9c51-1dee6d793aea,250,Depot_250,6,4,6,ALIMENTAL
7dfa1847-0f10-4610-9c66-e22aa193f1dd,224,Depot_224,3,4,4,FRAGILE
c6878d79-b12f-4482-9cb9-846c28036518,448,Depot_448,4,6,3,NOTSPECIFY
25e7a42e-1bea-4257-82ca-59c7818b805f,268,Depot_268,6,2,6,FRAGILE
0b803be2-3bb0-47a4-a540-5f7e8875c3f1,173,Depot_173,5,7,5,FRAGILE
19da89bc-9655-446d-a199-268ade0b8511,61,Depot_61,2,4,5,FRAGILE
141232f9-aa07-45ab-8276-bdf3c9706a29,20,Depot_20,4,2,6,NOTSPECIFY
71440a9d-bc43-4bbb-9e00-66d6346d58d6,102,Depot_102,6,5,6,ALIMENTAL
0ecf67ee-16d5-4a2d-b815-8df06a0ead67,367,Depot_367,5,2,3,NOTSPECIFY
a11bc659-d223-45c8-bf9d-06dd11158f73,84,Depot_84,1,1,0,PRESSURIZED
63dee28d-1a16-42ed-a339-381ee7087a79,149,Depot_149,0,2,0,NOTSPECIFY
22566f6a-c81e-4c9b-a3ab-5a8596659797,16,Depot_16,2,1,0,PRESSURIZED
c2845ea3-bf8c-4dcd-a766-1c0f4b979036,225,Depot_225,0,3,0,FLAMMABLE
be013457-856f-43c7-bcf2-76d9fa483496,75,Depot_75,2,2,1,FRAGILE
d6dc8bc4-efbd-4af0-ab70-85d0c4440b46,484,Depot_484,1,2,1,FRAGILE
abbf05a6-dbdd-4740-a678-f97383586f5a,431,Depot_431,0,3,1,NOTSPECIFY
0e34fbb5-4855-403e-b00d-0488cececae5,60,Depot_60,1,3,1,FRAGILE
f74abb54-0adb-4c41-ac08-7289a82cf7bb,104,Depot_104,0,3,1,NOTSPECIFY
1f2c9065-d995-449e-a0cd-5ef0a9591ff3,215,Depot_215,2,1,0,EXPLOSIVE
2c54fa23-444c-468d-a35e-2bb0055c2341,204,Depot_204,0,1,0,NOTSPECIFY
998ff5fb-7497-43c9-b2aa-867d4717c26c,296,Depot_296,2,2,0,PRESSURIZED
76b04ecf-407a-4ac8-b1cd-46a1a8aac292,206,Depot_206,1,2,1,PRESSURIZED
